fes;time;f
1;62;2147484431
6;78;2147484416
10;78;2147484410
11;78;2147484409
12;78;2147484408
14;78;2147484407
16;78;2147484406
18;78;2147484404
19;78;2147484397
21;93;2147484395
23;93;2147484394
27;93;2147484393
28;93;2147484389
35;93;2147484385
44;93;2147484383
46;109;2147484380
55;109;2147484379
56;109;2147484378
62;109;2147484375
63;109;2147484374
73;109;2147484371
75;109;2147484369
76;109;2147484368
77;109;2147484367
83;125;2147484366
84;125;2147484361
93;125;2147484360
98;125;2147484359
100;125;2147484357
167;156;2147484356
177;156;2147484354
184;172;2147484353
185;172;2147484351
186;172;2147484350
200;172;2147484348
308;234;2147484346
316;234;2147484345
317;234;2147484342
319;234;2147484341
321;234;2147484340
327;234;2147484338
334;234;2147484337
337;234;2147484336
338;234;2147484333
342;250;2147484331
350;250;2147484329
365;250;2147484326
367;250;2147484321
370;250;2147484320
371;250;2147484317
373;250;2147484312
374;250;2147484311
377;250;2147484310
379;250;2147484308
382;250;2147484304
383;250;2147484302
400;265;2147484300
738;375;2147484293
744;390;2147484292
748;390;2147484289
750;390;2147484288
751;390;2147484287
762;390;2147484286
766;390;2147484282
767;390;2147484280
770;390;2147484279
775;390;2147484277
779;390;2147484276
795;406;2147484275
796;406;2147484274
798;406;2147484272
1125;500;2147484271
1126;500;2147484270
1130;500;2147484269
1132;515;2147484268
1134;515;2147484267
1137;515;2147484266
1139;515;2147484265
1140;515;2147484264
1141;515;2147484263
1147;515;2147484262
1150;515;2147484261
1152;515;2147484257
1155;515;2147484256
1161;515;2147484254
1163;515;2147484251
1164;515;2147484250
1174;515;2147484249
1184;531;2147484247
1189;531;2147484246
1192;531;2147484240
1197;531;2147484238
2293;890;2147484237
2302;890;2147484236
2308;890;2147484235
2311;890;2147484234
2315;890;2147484233
2320;890;2147484232
2321;890;2147484231
2322;890;2147484229
2323;890;2147484228
2326;890;2147484226
2330;890;2147484224
2342;906;2147484223
2345;906;2147484222
2348;906;2147484220
2351;906;2147484219
2354;906;2147484218
2355;906;2147484217
2364;906;2147484216
2373;906;2147484215
2378;906;2147484212
2380;906;2147484206
2381;906;2147484205
2384;906;2147484200
2387;921;2147484199
3078;1109;2147484196
3083;1109;2147484194
3087;1109;2147484193
3091;1124;2147484192
3095;1124;2147484191
3106;1124;2147484190
3108;1124;2147484189
3110;1124;2147484188
3112;1124;2147484187
3117;1124;2147484186
3121;1124;2147484181
3125;1124;2147484179
3128;1124;2147484174
3134;1124;2147484172
3137;1124;2147484171
3140;1124;2147484170
3143;1124;2147484168
3147;1140;2147484167
3152;1140;2147484165
3168;1140;2147484164
3172;1140;2147484163
3175;1140;2147484159
3177;1140;2147484154
3192;1140;2147484149
6306;2109;2147484148
6309;2109;2147484145
6319;2109;2147484137
6330;2124;2147484136
6335;2124;2147484133
6354;2124;2147484131
6366;2124;2147484130
6377;2124;2147484129
6387;2140;2147484125
7178;2359;2147484123
7179;2359;2147484121
7207;2374;2147484119
7209;2374;2147484118
7232;2374;2147484117
7238;2374;2147484116
7252;2374;2147484113
7257;2374;2147484112
7259;2374;2147484111
7271;2390;2147484110
7275;2390;2147484108
7283;2390;2147484107
7286;2390;2147484105
7289;2390;2147484104
7295;2390;2147484101
7296;2390;2147484099
7337;2405;2147484098
7345;2405;2147484097
7349;2405;2147484095
7357;2405;2147484094
7371;2405;2147484093
7372;2405;2147484092
7375;2421;2147484091
7379;2421;2147484090
7400;2421;2147484089
7402;2421;2147484088
7407;2421;2147484084
7424;2421;2147484082
7437;2437;2147484081
7448;2437;2147484078
7466;2437;2147484076
7469;2437;2147484075
7476;2437;2147484074
7483;2437;2147484072
7502;2452;2147484069
7503;2452;2147484068
7504;2452;2147484067
7506;2452;2147484066
7511;2452;2147484065
7515;2452;2147484064
7526;2452;2147484063
7544;2468;2147484062
7548;2468;2147484061
7556;2468;2147484060
7561;2468;2147484058
7598;2484;2147484056
7606;2484;2147484055
7619;2484;2147484054
7622;2484;2147484053
7633;2484;2147484052
7640;2484;2147484049
7641;2484;2147484048
7663;2499;2147484047
7665;2499;2147484046
7707;2515;2147484044
7723;2515;2147484042
7738;2515;2147484041
7746;2515;2147484038
7750;2515;2147484036
7781;2530;2147484035
7786;2530;2147484034
7790;2530;2147484033
7829;2546;2147484029
7832;2546;2147484028
7833;2546;2147484027
7858;2546;2147484026
7869;2546;2147484025
7874;2546;2147484024
7882;2562;2147484023
7883;2562;2147484022
7886;2562;2147484020
7924;2562;2147484019
7969;2577;2147484018
7993;2593;2147484017
15952;5010;2147484016
15962;5010;2147484015
15969;5010;2147484014
15972;5010;2147484013
15973;5010;2147484011
15984;5010;2147484010
15997;5026;2147484009
17627;5479;2147484007
17645;5494;2147484006
17650;5494;2147484005
17657;5494;2147484004
17665;5494;2147484003
17700;5510;2147484001
17713;5510;2147484000
17715;5510;2147483999
17717;5510;2147483998
17768;5526;2147483994
17790;5526;2147483991
17798;5526;2147483989
17863;5541;2147483987
17871;5557;2147483986
17898;5557;2147483984
17900;5557;2147483982
17943;5573;2147483981
17947;5573;2147483980
17968;5573;2147483979
17995;5588;2147483978
18001;5588;2147483977
18026;5588;2147483976
18037;5604;2147483975
18077;5604;2147483974
18086;5604;2147483973
18089;5619;2147483971
18110;5619;2147483970
18155;5635;2147483968
18175;5635;2147483967
18176;5635;2147483966
18177;5635;2147483965
18205;5651;2147483964
18211;5651;2147483963
18220;5651;2147483962
18231;5651;2147483961
18233;5651;2147483960
18238;5651;2147483959
18241;5651;2147483958
18243;5651;2147483957
18258;5651;2147483956
18272;5666;2147483955
18279;5666;2147483954
18282;5666;2147483952
18297;5666;2147483951
18299;5666;2147483950
18347;5682;2147483949
18356;5682;2147483948
18359;5682;2147483947
18365;5682;2147483945
18373;5682;2147483944
18386;5697;2147483943
18443;5713;2147483942
18474;5713;2147483941
18493;5713;2147483940
18497;5729;2147483939
18513;5729;2147483938
18519;5729;2147483937
18520;5729;2147483936
18529;5729;2147483934
18532;5729;2147483933
18534;5729;2147483932
18563;5744;2147483931
18604;5744;2147483929
18628;5760;2147483927
18654;5760;2147483926
18655;5760;2147483925
18680;5776;2147483922
18689;5776;2147483921
18694;5776;2147483920
18715;5776;2147483919
18730;5791;2147483918
18751;5791;2147483916
18760;5791;2147483915
18785;5807;2147483914
18795;5807;2147483913
18797;5807;2147483912
18841;5807;2147483911
18865;5822;2147483910
18867;5822;2147483909
18880;5822;2147483908
18932;5838;2147483907
18940;5838;2147483905
18944;5838;2147483904
18946;5838;2147483903
19003;5869;2147483902
19013;5869;2147483901
19128;5901;2147483900
19137;5901;2147483899
19141;5901;2147483898
19176;5916;2147483897
19185;5916;2147483896
19199;5916;2147483895
38330;11606;2147483894
38347;11606;2147483893
38386;11621;2147483892
41069;12356;2147483889
41118;12371;2147483888
41132;12371;2147483887
41157;12387;2147483886
41183;12387;2147483884
41198;12402;2147483883
41204;12402;2147483882
41210;12402;2147483881
41234;12402;2147483880
41313;12434;2147483879
41377;12449;2147483878
41410;12449;2147483877
41476;12481;2147483876
41479;12481;2147483875
41541;12496;2147483874
41574;12496;2147483873
41605;12512;2147483872
41654;12527;2147483871
41683;12527;2147483870
41711;12543;2147483868
41717;12543;2147483866
41722;12543;2147483865
41764;12559;2147483864
41855;12574;2147483863
41952;12606;2147483862
42013;12621;2147483861
42029;12621;2147483860
42046;12637;2147483859
42118;12652;2147483856
42134;12652;2147483855
42135;12652;2147483853
42140;12652;2147483852
42193;12668;2147483851
42251;12684;2147483850
42295;12699;2147483849
42344;12715;2147483848
42362;12715;2147483847
42510;12762;2147483846
42534;12762;2147483845
42561;12777;2147483844
42602;12793;2147483843
42611;12793;2147483842
42684;12809;2147483841
42691;12809;2147483840
42771;12840;2147483839
42795;12840;2147483838
42826;12855;2147483837
42947;12887;2147483836
43053;12918;2147483835
43097;12934;2147483834
43103;12934;2147483833
43204;12965;2147483832
43236;12965;2147483831
43305;12980;2147483830
43318;12996;2147483829
43327;12996;2147483828
43350;12996;2147483827
43389;13012;2147483826
43447;13027;2147483825
43472;13043;2147483824
43575;13059;2147483823
43651;13090;2147483822
43659;13090;2147483821
43682;13090;2147483820
43752;13105;2147483819
43785;13121;2147483818
43902;13152;2147483817
44226;13246;2147483816
44253;13246;2147483815
44255;13246;2147483814
44351;13277;2147483813
44388;13293;2147483812
44478;13308;2147483811
44585;13340;2147483810
44684;13371;2147483809
44686;13371;2147483808
44742;13387;2147483807
88981;26331;2147483806
89004;26331;2147483805
89127;26362;2147483804
89176;26377;2147483803
89216;26393;2147483802
89260;26409;2147483801
89276;26409;2147483800
89324;26424;2147483799
98304;28846;2147483797
98529;28924;2147483796
98530;28924;2147483795
98631;28943;2147483794
98834;28990;2147483793
99007;29037;2147483792
99136;29083;2147483791
99149;29083;2147483789
99337;29130;2147483788
99414;29161;2147483787
99465;29161;2147483786
99548;29193;2147483785
99616;29208;2147483784
99626;29208;2147483783
99632;29208;2147483782
99660;29224;2147483781
99697;29224;2147483780
99920;29286;2147483779
100016;29318;2147483778
100081;29333;2147483777
100136;29349;2147483776
100200;29365;2147483775
100467;29443;2147483774
100660;29490;2147483773
100720;29505;2147483772
100809;29536;2147483771
