fes;time;f
1;63;2147484462
5;63;2147484460
7;78;2147484454
16;78;2147484450
20;94;2147484449
21;94;2147484447
23;94;2147484444
24;94;2147484443
26;94;2147484437
29;94;2147484433
30;94;2147484432
38;94;2147484431
39;94;2147484426
40;109;2147484425
43;109;2147484423
44;109;2147484422
45;109;2147484418
46;109;2147484412
47;109;2147484411
49;109;2147484409
50;109;2147484407
51;109;2147484403
56;109;2147484396
68;109;2147484392
70;109;2147484390
75;125;2147484387
76;125;2147484385
77;125;2147484376
79;125;2147484373
81;125;2147484371
84;125;2147484369
85;125;2147484366
86;125;2147484365
104;125;2147484363
112;141;2147484362
113;141;2147484358
119;141;2147484352
121;141;2147484349
123;141;2147484342
125;141;2147484341
128;141;2147484340
131;141;2147484339
136;141;2147484338
138;141;2147484337
139;141;2147484336
141;141;2147484335
146;141;2147484333
150;156;2147484331
153;156;2147484329
156;156;2147484327
158;156;2147484324
159;156;2147484323
170;156;2147484322
172;156;2147484320
179;156;2147484319
182;156;2147484318
183;156;2147484316
184;156;2147484313
185;156;2147484311
186;156;2147484309
198;172;2147484308
202;172;2147484305
203;172;2147484304
206;172;2147484303
216;172;2147484301
218;172;2147484300
228;172;2147484297
229;172;2147484296
231;172;2147484294
233;172;2147484289
237;172;2147484286
243;188;2147484285
245;188;2147484284
246;188;2147484283
248;188;2147484282
252;188;2147484279
261;188;2147484277
267;188;2147484276
268;188;2147484273
280;188;2147484271
281;188;2147484270
283;188;2147484268
284;188;2147484267
290;203;2147484266
293;203;2147484265
295;203;2147484264
302;203;2147484259
303;203;2147484258
304;203;2147484257
306;203;2147484256
309;203;2147484255
310;203;2147484251
311;203;2147484250
313;203;2147484248
315;203;2147484247
323;203;2147484246
334;219;2147484244
340;219;2147484241
341;219;2147484240
342;219;2147484238
343;219;2147484237
349;219;2147484236
352;219;2147484234
354;219;2147484233
358;219;2147484232
361;219;2147484229
362;219;2147484227
377;219;2147484226
378;219;2147484225
387;234;2147484223
388;234;2147484221
407;234;2147484219
415;234;2147484218
416;234;2147484216
418;234;2147484215
425;234;2147484212
427;234;2147484210
431;250;2147484209
444;250;2147484208
445;250;2147484205
448;250;2147484204
454;250;2147484203
455;250;2147484202
457;250;2147484200
463;250;2147484198
475;250;2147484197
479;250;2147484196
481;266;2147484194
482;266;2147484191
484;266;2147484189
496;266;2147484188
503;266;2147484187
507;266;2147484184
511;266;2147484181
515;266;2147484180
516;266;2147484179
531;281;2147484178
538;281;2147484176
539;281;2147484175
543;281;2147484173
550;281;2147484172
556;281;2147484170
563;281;2147484169
570;281;2147484167
572;281;2147484166
576;281;2147484165
578;297;2147484164
593;297;2147484163
595;297;2147484162
608;297;2147484161
614;297;2147484160
634;312;2147484159
635;312;2147484158
644;312;2147484157
649;312;2147484155
660;312;2147484154
661;312;2147484152
662;312;2147484145
665;312;2147484144
672;312;2147484143
673;312;2147484140
683;328;2147484139
696;328;2147484123
711;328;2147484122
720;328;2147484121
725;328;2147484120
737;344;2147484118
743;344;2147484117
754;344;2147484115
758;344;2147484113
764;344;2147484112
770;344;2147484110
809;359;2147484109
812;359;2147484108
814;359;2147484107
816;359;2147484106
824;359;2147484105
853;375;2147484104
873;375;2147484098
894;391;2147484096
902;391;2147484094
904;391;2147484093
909;391;2147484092
911;391;2147484091
914;391;2147484090
922;391;2147484088
925;391;2147484087
929;391;2147484086
944;406;2147484085
947;406;2147484082
962;406;2147484081
967;406;2147484080
987;406;2147484079
995;422;2147484077
1000;422;2147484076
1010;422;2147484075
1022;422;2147484074
1027;422;2147484072
1037;422;2147484071
1054;437;2147484069
1073;437;2147484068
1089;437;2147484067
1090;437;2147484064
1095;437;2147484062
1104;453;2147484061
1108;453;2147484060
1110;453;2147484059
1123;453;2147484058
1125;453;2147484057
1129;453;2147484055
1144;453;2147484054
1147;453;2147484053
1149;453;2147484052
1154;453;2147484051
1155;453;2147484050
1159;469;2147484048
1169;469;2147484047
1172;469;2147484046
1196;469;2147484044
1214;484;2147484043
1217;484;2147484041
1225;484;2147484040
1228;484;2147484039
1230;484;2147484036
1234;484;2147484035
1256;484;2147484034
1267;500;2147484033
1273;500;2147484032
1304;500;2147484031
1306;500;2147484030
1316;516;2147484029
1324;516;2147484028
1361;531;2147484027
1374;531;2147484026
1383;547;2147484023
1413;547;2147484022
1428;547;2147484021
1429;562;2147484020
1447;562;2147484019
1450;562;2147484018
1460;562;2147484017
1466;562;2147484016
1498;578;2147484015
1501;578;2147484014
1513;578;2147484013
1527;578;2147484010
1566;594;2147484009
1575;594;2147484008
1589;594;2147484005
1592;594;2147484004
1597;594;2147484003
1618;609;2147484002
1652;609;2147484000
1656;609;2147483999
1669;625;2147483998
1673;625;2147483997
1682;625;2147483996
1690;625;2147483995
1699;625;2147483994
1730;641;2147483993
1734;641;2147483992
1738;641;2147483991
1751;641;2147483989
1757;641;2147483988
1765;641;2147483987
1778;641;2147483986
1782;656;2147483984
1790;656;2147483983
1800;656;2147483982
1808;656;2147483981
1810;656;2147483980
1845;672;2147483979
1864;672;2147483978
1871;672;2147483977
1905;687;2147483975
1908;687;2147483974
1913;687;2147483973
1926;687;2147483972
1994;719;2147483971
2000;719;2147483970
2024;719;2147483969
2044;734;2147483968
2066;734;2147483967
2118;750;2147483966
2136;750;2147483965
2142;750;2147483964
2147;750;2147483962
2148;750;2147483961
